"RespondentId"	"living_situation"	"rent_mo"	"util_mo"	"food_mo"	"transp_mo"	"healthCare_mo"	"household_items_mo"	"take_loans"	"recieve_fin_support"	"provide_fin_support"	"expenditures_exceed_income"	"mental_health_stipend_impact"	"food_insecurity"	"residency_status"	"is_otherRace"	"is_other"	"parental_education"	"Race"	"Sex_Gen"
"201"	96300543	"I live alone."	"$900-$1100"	"$100-$150"	"$200-$300"	"$100-$200"	"Less than $100"	"$50-$100"	"No"	"No"	"No"	"No"	"A few times a month"	"Once in a while"	"Domestic"	""	""	"Master's degree"	"White"	"Cisgender woman"
"202"	96300547	"I live with roommates."	"$900-$1100"	"More than $150"	"$800-$900"	"$100-$200"	"$100-$200"	"$50-$100"	"No"	"Yes"	"No"	"Yes"	"Daily"	"A few times a week"	"International"	""	""	"Master's degree"	"Asian"	"Cisgender man"
"203"	96300551	"I live with roommates."	"$500-$700"	"More than $150"	"$600-$700"	"$100-$200"	"Less than $100"	"$50-$100"	"No"	"No"	"No"	"Sometimes"	"A few times a week"	"A few times a month"	"International"	""	""	"Master's degree"	"Asian"	"Cisgender woman"
"204"	96300554	"I live with my spouse/partner."	"$900-$1100"	"$100-$150"	"$400-$500"	"$100-$200"	"$200-$300"	"$100-$150"	"No"	"Yes"	"Yes"	"Yes"	"Daily"	"Daily"	"International"	""	""	"Master's degree"	"Asian"	"Cisgender man"
"205"	96300556	"I live with roommates."	"$900-$1100"	"$50-$100"	"Less than $200"	"$100-$200"	"Less than $100"	"$50-$100"	"No"	"No"	"No"	"Sometimes"	"Daily"	"A few times a month"	"Domestic"	""	""	"Secondary school education (high school degree)"	"White"	"Cisgender woman"
"206"	96300563	"I live with my spouse/partner."	"More than $1300"	"More than $150"	"$600-$700"	"More than $400"	"$100-$200"	"$50-$100"	"No"	"No"	"Yes"	"No"	"A few times a week"	"Never"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender woman"
"207"	96300567	"I live alone."	"$500-$700"	"$50-$100"	"$200-$300"	"Less than $100"	"Less than $100"	"Less than $50"	"Yes"	"No"	"No"	"Sometimes"	"Daily"	"Once in a while"	"Domestic"	""	""	"Secondary school education (high school degree)"	"White"	"Cisgender man"
"208"	96300568	"I live alone."	"$700-$900"	"$50-$100"	"$200-$300"	"Less than $100"	"Less than $100"	"$50-$100"	"Yes"	"Yes"	"Yes"	"Yes"	"A few times a month"	"Once in a while"	"Domestic"	""	""	"Secondary school education (high school degree)"	"Black"	"Cisgender woman"
"209"	96300570	"I live with roommates."	"$500-$700"	"Less than $50"	"$200-$300"	"Less than $100"	"Less than $100"	"Less than $50"	"No"	"No"	"No"	"Sometimes"	"A few times a week"	"Once in a while"	"Domestic"	""	""	"Doctorate degree"	"White"	"Cisgender woman"
"210"	96300574	"I live with my spouse/partner."	"$1100-$1300"	"More than $150"	"$900-$1000"	"$200-$300"	"$100-$200"	"$50-$100"	"Yes"	"No"	"No"	"Yes"	"A few times a month"	"Never"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender man"
"211"	96300575	"I live with roommates."	"$700-$900"	"$50-$100"	"$300-$400"	"Less than $100"	"I don't spend any money on health-related fees."	"Less than $50"	"No"	"Yes"	"No"	"Sometimes"	"Never"	"Never"	"Domestic"	""	""	"Doctorate degree"	"White"	"Cisgender man"
"212"	96300586	"I live alone."	"$900-$1100"	"More than $150"	"$700-$800"	"$200-$300"	"$100-$200"	"$100-$150"	"Yes"	"No"	"No"	"No"	"A few times a month"	"Never"	"Domestic"	""	""	"Master's degree"	"White"	"Cisgender woman"
"213"	96300591	"I live alone."	"$700-$900"	"$50-$100"	"$500-$600"	"$100-$200"	"$100-$200"	"$50-$100"	"No"	"No"	"No"	"Sometimes"	"Daily"	"A few times a week"	"International"	"Other"	""	"Bachelor's degree"	"Middle Eastern"	"Cisgender woman"
"214"	96300602	"I live with my spouse/partner."	"$500-$700"	"I don't spend any money on utilities."	"I don't spend any money on food."	"I don't spend any money on transportation."	"I don't spend any money on health-related fees."	"I don't spend any money on household items."	"No"	"Yes"	"No"	"No"	"Never"	"Never"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender woman"
"215"	96300605	"I live with my spouse/partner."	"Less than $500"	"Less than $50"	"$200-$300"	"$100-$200"	"Less than $100"	"Less than $50"	"No"	"No"	"Yes"	"Sometimes"	"A few times a month"	"Once in a while"	"International"	""	""	"Secondary school education (high school degree)"	"Asian"	"Cisgender man"
"216"	96300607	"I live with my spouse/partner."	"$900-$1100"	"More than $150"	"$800-$900"	"$200-$300"	"Less than $100"	"Less than $50"	"Yes"	"Yes"	"Yes"	"Yes"	"Once in a while"	"Never"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender man"
"217"	96300610	"I live with roommates."	"$500-$700"	"$50-$100"	"$200-$300"	"Less than $100"	"Less than $100"	"$50-$100"	"No"	"Yes"	"Yes"	"Yes"	"Daily"	"A few times a month"	"International"	""	""	"Secondary school education (high school degree)"	"Black"	"Cisgender woman"
"218"	96300615	"I live with my spouse/partner."	"More than $1300"	"More than $150"	"$400-$500"	"$200-$300"	"Less than $100"	"$50-$100"	"Yes"	"No"	"No"	"No"	"Never"	"Never"	"Domestic"	""	""	"Secondary school education (high school degree)"	"Black"	"Cisgender woman"
"219"	96300622	"I live alone."	"$900-$1100"	"$100-$150"	"$200-$300"	"Less than $100"	"Less than $100"	"Less than $50"	"No"	"Yes"	"No"	"Sometimes"	"A few times a week"	"Once in a while"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender woman"
"220"	96300624	"I live alone."	"$700-$900"	"$100-$150"	"$600-$700"	"$200-$300"	"I don't spend any money on health-related fees."	"$50-$100"	"Yes"	"No"	"No"	"Yes"	"A few times a week"	"Once in a while"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender woman"
"221"	96300626	"I live with my spouse/partner."	"Less than $500"	"Less than $50"	"$200-$300"	"$100-$200"	"Less than $100"	"$50-$100"	"No"	"No"	"Yes"	"Sometimes"	"A few times a month"	"A few times a month"	"International"	""	""	"Bachelor's degree"	"Asian"	"Cisgender woman"
"222"	96300627	"Other"	"I don't spend any money on rent."	"Less than $50"	"Less than $200"	"$100-$200"	"Less than $100"	"Less than $50"	"No"	"Yes"	"No"	"Sometimes"	"A few times a month"	"Never"	"Domestic"	""	""	"Master's degree"	"Black"	"Cisgender woman"
"223"	96300632	"I live with my spouse/partner."	"$700-$900"	"$100-$150"	"$400-$500"	"$200-$300"	"$100-$200"	"$50-$100"	"No"	"No"	"No"	"Sometimes"	"A few times a week"	"Never"	"Domestic"	""	""	"Doctorate degree"	"White"	"Cisgender woman"
"224"	96300641	"I live with my spouse/partner."	"$900-$1100"	"More than $150"	"$700-$800"	"$100-$200"	"$200-$300"	"$100-$150"	"No"	"No"	"No"	"No"	"Once in a while"	"Never"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender man"
"225"	96300644	"I live with my spouse/partner."	"$1100-$1300"	"More than $150"	"$500-$600"	"$200-$300"	"Less than $100"	"Less than $50"	"No"	"Yes"	"No"	"Sometimes"	"A few times a week"	"Never"	"Domestic"	""	""	"Secondary school education (high school degree)"	"White"	NA
"226"	96300646	"I live with roommates."	"$700-$900"	"$50-$100"	"Less than $200"	"Less than $100"	"Less than $100"	"$50-$100"	"No"	"No"	"No"	"Sometimes"	"A few times a week"	"Once in a while"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender woman"
"227"	96300667	"I live with roommates."	"$500-$700"	"$50-$100"	"$300-$400"	"$200-$300"	"Less than $100"	"Less than $50"	"No"	"No"	"No"	"Sometimes"	"A few times a week"	"Once in a while"	"International"	""	""	"Some secondary school education"	"Asian"	"Cisgender woman"
"228"	96300669	"I live with roommates."	"$900-$1100"	"$100-$150"	"$400-$500"	"Less than $100"	"Less than $100"	"$50-$100"	"No"	"Yes"	"No"	"Yes"	"Daily"	"A few times a week"	"International"	""	""	"Bachelor's degree"	"Asian"	"Cisgender woman"
"229"	96300672	"I live with my spouse/partner."	"$1100-$1300"	"$50-$100"	"$700-$800"	"$100-$200"	"$100-$200"	"$50-$100"	"No"	"Yes"	"Yes"	"Yes"	"Once in a while"	"Once in a while"	"International"	""	""	"No education"	"Asian"	"Cisgender man"
"230"	96300674	"I live alone."	"More than $1300"	"More than $150"	"$300-$400"	"$100-$200"	"$300-$400"	"$100-$150"	"Yes"	"No"	"No"	"Sometimes"	"A few times a month"	"Never"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender woman"
"231"	96300676	"I live alone."	"$700-$900"	"$100-$150"	"$200-$300"	"$100-$200"	"Less than $100"	"$50-$100"	"No"	"No"	"No"	"Sometimes"	"Once in a while"	"Once in a while"	"Domestic"	""	""	"Master's degree"	"White"	"Cisgender man"
"232"	96300678	"I live alone."	"$1100-$1300"	"$100-$150"	"$200-$300"	"$100-$200"	"$100-$200"	"$100-$150"	"Yes"	"Yes"	"No"	"Yes"	"A few times a week"	"A few times a month"	"Domestic"	""	""	"Bachelor's degree"	"Black"	NA
"233"	96300680	"I live alone."	"I don't spend any money on rent."	"I don't spend any money on utilities."	"$400-$500"	"$100-$200"	"$100-$200"	"$100-$150"	"Yes"	"No"	"No"	"Yes"	"Daily"	"A few times a month"	"Domestic"	""	""	"Master's degree"	"Black"	NA
"234"	96300690	"I live with roommates."	"$500-$700"	"$50-$100"	"$300-$400"	"$100-$200"	"Less than $100"	"$50-$100"	"Yes"	"Yes"	"No"	"Yes"	"A few times a week"	"Never"	"Domestic"	""	""	"Secondary school education (high school degree)"	"White"	"Cisgender man"
"235"	96300696	"I live with roommates."	"$500-$700"	"$50-$100"	"$200-$300"	"$100-$200"	"$100-$200"	"$100-$150"	"No"	"Yes"	"No"	"Yes"	"Daily"	"Never"	"Domestic"	""	""	"Master's degree"	"White"	"Cisgender man"
"236"	96300716	"I live with roommates."	"$700-$900"	"$50-$100"	"$300-$400"	"$100-$200"	"$100-$200"	"$50-$100"	"No"	"Yes"	"No"	"Sometimes"	"Daily"	"A few times a month"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender man"
"237"	96300722	"I live with roommates."	"$700-$900"	"$50-$100"	"$300-$400"	"$300-$400"	"Less than $100"	"Less than $50"	"Yes"	"Yes"	"No"	"Sometimes"	"A few times a month"	"Never"	"International"	""	""	"Associate's degree"	"Asian"	"Cisgender man"
"238"	96300769	"I live alone."	"$1100-$1300"	"$50-$100"	"Less than $200"	"$100-$200"	"I don't spend any money on health-related fees."	"Less than $50"	"Yes"	"No"	"Yes"	"Sometimes"	"A few times a month"	"Once in a while"	"Domestic"	""	""	"Secondary school education (high school degree)"	"White"	"Cisgender woman"
"239"	96300778	"I live with roommates."	"$500-$700"	"$50-$100"	"$200-$300"	"$100-$200"	"I don't spend any money on health-related fees."	"$100-$150"	"No"	"Yes"	"No"	"Sometimes"	"A few times a month"	"Never"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender woman"
"240"	96300782	"I live with roommates."	"$700-$900"	"Less than $50"	"$300-$400"	"$100-$200"	"Less than $100"	"$100-$150"	"Yes"	"No"	"No"	"Yes"	"Daily"	"Once in a while"	"Domestic"	""	""	"Secondary school education (high school degree)"	"White"	"Cisgender woman"
"241"	96300795	"I live with roommates."	"$700-$900"	"$100-$150"	"$400-$500"	"$100-$200"	"$100-$200"	"$50-$100"	"Yes"	"No"	"No"	"Yes"	"Daily"	"A few times a month"	"Domestic"	""	""	"Master's degree"	"White"	"Cisgender man"
"242"	96300798	"I live alone."	"$900-$1100"	"$100-$150"	"$200-$300"	"$100-$200"	"Less than $100"	"Less than $50"	"Yes"	"Yes"	"No"	"Yes"	"Daily"	"Daily"	"Domestic"	""	""	"Secondary school education (high school degree)"	"White"	"Cisgender woman"
"243"	96300805	"I live with roommates."	"$700-$900"	"$100-$150"	"$200-$300"	"$100-$200"	"Less than $100"	"Less than $50"	"Yes"	"Yes"	"No"	"Yes"	"Daily"	"A few times a month"	"Domestic"	""	""	"Secondary school education (high school degree)"	"White"	"Cisgender woman"
"244"	96300814	"I live with my spouse/partner."	"$700-$900"	"$100-$150"	"$400-$500"	"$100-$200"	"$200-$300"	"$50-$100"	"Yes"	"Yes"	"No"	"Yes"	"Daily"	"Never"	"Domestic"	""	""	"Secondary school education (high school degree)"	"White"	"Cisgender woman"
"245"	96300850	"I live with roommates."	"$900-$1100"	"$50-$100"	"$500-$600"	"$200-$300"	"Less than $100"	"$50-$100"	"Yes"	"No"	"Yes"	"Sometimes"	"Once in a while"	"Once in a while"	"International"	""	""	"No education"	"Black"	"Cisgender man"
"246"	96300882	"I live with roommates."	"$500-$700"	"$50-$100"	"$200-$300"	"Less than $100"	"Less than $100"	"Less than $50"	"Yes"	"No"	"No"	"Sometimes"	"A few times a week"	"Once in a while"	"Domestic"	""	""	"Master's degree"	"White"	"Cisgender woman"
"247"	96300895	"I live with my spouse/partner."	"$900-$1100"	"$100-$150"	"$400-$500"	"$200-$300"	"Less than $100"	"$50-$100"	"Yes"	"Yes"	"No"	"Sometimes"	"A few times a week"	"Once in a while"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender man"
"248"	96300897	"I live with roommates."	"$1100-$1300"	"$100-$150"	"$300-$400"	"Less than $100"	"Less than $100"	"$50-$100"	"Yes"	"No"	"Yes"	"Sometimes"	"A few times a week"	"Once in a while"	"Domestic"	""	""	"Secondary school education (high school degree)"	"White"	"Cisgender woman"
"249"	96300906	"I live alone."	"$1100-$1300"	"$50-$100"	"$300-$400"	"$200-$300"	"$300-$400"	"$150-$200"	"Yes"	"Yes"	"No"	"No"	"A few times a week"	"Once in a while"	"Domestic"	""	""	"Secondary school education (high school degree)"	"Black"	"Cisgender woman"
"250"	96300911	"I live with my spouse/partner."	"$1100-$1300"	"More than $150"	"$400-$500"	"$100-$200"	"$100-$200"	"$100-$150"	"No"	"No"	"No"	"Yes"	"A few times a week"	"A few times a month"	"International"	""	""	"Bachelor's degree"	"Asian"	"Cisgender man"
"251"	96300926	"I live with my spouse/partner."	"$700-$900"	"More than $150"	"$500-$600"	"$200-$300"	"Less than $100"	"$100-$150"	"Yes"	"No"	"No"	"Yes"	"A few times a week"	"Once in a while"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender man"
"252"	96300939	"Other"	"$500-$700"	"$50-$100"	"$200-$300"	"Less than $100"	"$200-$300"	"$50-$100"	"Yes"	"No"	"No"	"Sometimes"	"Daily"	"Never"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender woman"
"253"	96300943	"I live with my spouse/partner."	"More than $1300"	"More than $150"	"$300-$400"	"Less than $100"	"$100-$200"	"Less than $50"	"No"	"Yes"	"No"	"Yes"	"Once in a while"	"Never"	"Domestic"	""	""	"Secondary school education (high school degree)"	"White"	"Cisgender woman"
"254"	96300944	"I live alone."	"$900-$1100"	"More than $150"	"$300-$400"	"Less than $100"	"More than $500"	"$50-$100"	"Yes"	"No"	"No"	"Yes"	"Daily"	"Never"	"Domestic"	""	""	"Secondary school education (high school degree)"	"White"	"Cisgender woman"
"255"	96300946	"I live with my spouse/partner."	"$900-$1100"	"$100-$150"	"$600-$700"	"$100-$200"	"Less than $100"	"$50-$100"	"No"	"No"	"No"	"Yes"	"A few times a month"	"Never"	"International"	""	""	"Master's degree"	"Asian"	"Cisgender man"
"256"	96300948	"I live with roommates."	"$500-$700"	"$100-$150"	"$400-$500"	"$100-$200"	"Less than $100"	"Less than $50"	"No"	"Yes"	"No"	"Yes"	"A few times a month"	"Once in a while"	"International"	""	""	"Doctorate degree"	"Asian"	"Cisgender woman"
"257"	96300959	"I live with my spouse/partner."	"$900-$1100"	"More than $150"	"$300-$400"	"$100-$200"	"$300-$400"	"$50-$100"	"Yes"	"Yes"	"No"	"Yes"	"Daily"	"Once in a while"	"Domestic"	""	""	"Doctorate degree"	"White"	"Cisgender woman"
"258"	96300968	"I live with roommates."	"$500-$700"	"$50-$100"	"$300-$400"	"$100-$200"	"$100-$200"	"$50-$100"	"No"	"Yes"	"No"	"Yes"	"A few times a month"	"Once in a while"	"International"	""	""	"Secondary school education (high school degree)"	"Asian"	"Cisgender woman"
"259"	96300993	"I live with roommates."	"$700-$900"	"Less than $50"	"$300-$400"	"$200-$300"	"Less than $100"	"Less than $50"	"No"	"Yes"	"No"	"Sometimes"	"A few times a week"	"A few times a month"	"International"	""	""	"Some secondary school education"	"White"	"Cisgender woman"
"260"	96301000	"I live with roommates."	"$700-$900"	"Less than $50"	"Less than $200"	"$100-$200"	"Less than $100"	"$50-$100"	"Yes"	"Yes"	"No"	"Yes"	"A few times a month"	"Never"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender woman"
"261"	96301008	"I live with my spouse/partner."	"$700-$900"	"More than $150"	"$400-$500"	"$200-$300"	"Less than $100"	"Less than $50"	"Yes"	"Yes"	"No"	"Yes"	"Daily"	"A few times a month"	"Domestic"	""	""	"Associate's degree"	"White"	"Cisgender woman"
"262"	96301014	"I live with roommates."	"Less than $500"	"$100-$150"	"$200-$300"	"Less than $100"	"I don't spend any money on health-related fees."	"$50-$100"	"No"	"No"	"No"	"Sometimes"	"A few times a week"	"A few times a week"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender man"
"263"	96301017	"I live alone."	"More than $1300"	"$100-$150"	"$200-$300"	"$100-$200"	"Less than $100"	"$50-$100"	"Yes"	"Yes"	"No"	"Sometimes"	"Once in a while"	"Never"	"Domestic"	""	""	"Master's degree"	"Black"	"Cisgender woman"
"264"	96301027	"I live with my spouse/partner."	"$1100-$1300"	"More than $150"	"$400-$500"	"Less than $100"	"$300-$400"	"Less than $50"	"No"	"No"	"Yes"	"Yes"	"A few times a week"	"Daily"	"International"	"Other"	""	"Secondary school education (high school degree)"	"White"	"Cisgender woman"
"265"	96301038	"I live with my spouse/partner."	"$1100-$1300"	"More than $150"	"$200-$300"	"Less than $100"	"$100-$200"	"More than $200"	"Yes"	"No"	"Yes"	"Yes"	"Daily"	"Once in a while"	"Domestic"	""	""	"Primary school education"	"White"	"Cisgender woman"
"266"	96301059	"I live with roommates."	"$700-$900"	"$50-$100"	"$500-$600"	"$100-$200"	"$100-$200"	"$100-$150"	"No"	"Yes"	"No"	"Yes"	"Daily"	"A few times a month"	"International"	""	""	"Master's degree"	"Asian"	"Cisgender woman"
"267"	96301086	"I live with roommates."	"$700-$900"	"$50-$100"	"$400-$500"	"Less than $100"	"Less than $100"	"$50-$100"	"Yes"	"No"	"No"	"Sometimes"	"A few times a week"	"Once in a while"	"Domestic"	""	""	"Master's degree"	"White"	"Cisgender woman"
"268"	96301108	"I live with my spouse/partner."	"I don't spend any money on rent."	"More than $150"	"$500-$600"	"$200-$300"	"$100-$200"	"$50-$100"	"Yes"	"No"	"No"	"No"	"Once in a while"	"Never"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender man"
"269"	96301112	"I live with roommates."	"$500-$700"	"$50-$100"	"$300-$400"	"$100-$200"	"Less than $100"	"Less than $50"	"No"	"Yes"	"No"	"No"	"Never"	"Never"	"International"	""	""	"Doctorate degree"	"Asian"	"Cisgender woman"
"270"	96301134	"I live with roommates."	"$700-$900"	"$50-$100"	"$400-$500"	"$100-$200"	"Less than $100"	"Less than $50"	"No"	"Yes"	"No"	"Yes"	"Once in a while"	"Once in a while"	"International"	""	""	"Bachelor's degree"	"Asian"	"Cisgender man"
"271"	96301144	"I live with roommates."	"$700-$900"	"$100-$150"	"$400-$500"	"Less than $100"	"Less than $100"	"Less than $50"	"No"	"Yes"	"No"	"Yes"	"A few times a week"	"A few times a month"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender man"
"272"	96301150	"I live with my spouse/partner."	"More than $1300"	"More than $150"	"$800-$900"	"$100-$200"	"Less than $100"	"$100-$150"	"Yes"	"No"	"No"	"Yes"	"Once in a while"	"Once in a while"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender man"
"273"	96301153	"I live with roommates."	"$700-$900"	"More than $150"	"$500-$600"	"$200-$300"	"$200-$300"	"Less than $50"	"No"	"Yes"	"No"	"Yes"	"Daily"	"A few times a month"	"International"	""	""	"Bachelor's degree"	"Asian"	"Cisgender man"
"274"	96301154	"I live alone."	"$900-$1100"	"$50-$100"	"Less than $200"	"$100-$200"	"$100-$200"	"$50-$100"	"Yes"	"No"	"No"	"Sometimes"	"Daily"	"Once in a while"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender woman"
"275"	96301162	"I live with my spouse/partner."	"More than $1300"	"$100-$150"	"$200-$300"	"$100-$200"	"I don't spend any money on health-related fees."	"$50-$100"	"No"	"No"	"Yes"	"No"	"A few times a month"	"Never"	"Domestic"	""	""	"Doctorate degree"	"White"	"Cisgender man"
"276"	96301172	"I live with my spouse/partner."	"$900-$1100"	"More than $150"	"$400-$500"	"$100-$200"	"I don't spend any money on health-related fees."	"$50-$100"	"Yes"	"No"	"No"	"Yes"	"A few times a week"	"Once in a while"	"Domestic"	""	""	"Secondary school education (high school degree)"	"Asian"	"Cisgender woman"
"277"	96301180	"I live with my spouse/partner."	"More than $1300"	"More than $150"	"$300-$400"	"Less than $100"	"Less than $100"	"$50-$100"	"No"	"No"	"No"	"No"	"Once in a while"	"Never"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender woman"
"278"	96301187	"I live with roommates."	"$500-$700"	"$100-$150"	"$600-$700"	"$100-$200"	"Less than $100"	"$50-$100"	"No"	"Yes"	"No"	"Yes"	"Once in a while"	"Once in a while"	"International"	""	""	"Doctorate degree"	"Asian"	"Cisgender woman"
"279"	96301198	"I live alone."	"$700-$900"	"More than $150"	"$200-$300"	"$100-$200"	"Less than $100"	"$50-$100"	"No"	"Yes"	"No"	"No"	"A few times a week"	"Never"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender man"
"280"	96301231	"I live with my spouse/partner."	"More than $1300"	"More than $150"	"$300-$400"	"$100-$200"	"Less than $100"	"$50-$100"	"No"	"No"	"No"	"No"	"A few times a week"	"Never"	"Domestic"	""	""	"Master's degree"	"White"	"Cisgender man"
"281"	96301233	"I live with my spouse/partner."	"$500-$700"	"$100-$150"	"$200-$300"	"$200-$300"	"I don't spend any money on health-related fees."	"$100-$150"	"No"	"No"	"No"	"No"	"Once in a while"	"Never"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender man"
"282"	96301250	"I live with roommates."	"$500-$700"	"Less than $50"	"Less than $200"	"Less than $100"	"Less than $100"	"Less than $50"	"No"	"No"	"Yes"	"Yes"	"Daily"	"A few times a week"	"International"	""	""	"Bachelor's degree"	"Asian"	"Cisgender woman"
"283"	96301253	"I live alone."	"$700-$900"	"$100-$150"	"$200-$300"	"Less than $100"	"Less than $100"	"Less than $50"	"No"	"Yes"	"No"	"Sometimes"	"Once in a while"	"Never"	"Domestic"	""	""	"Doctorate degree"	"White"	"Cisgender woman"
"284"	96301256	"Other"	"$900-$1100"	"More than $150"	"More than $1000"	"Less than $100"	"Less than $100"	"More than $200"	"Yes"	"Yes"	"Yes"	"No"	"A few times a week"	"Never"	"Domestic"	""	""	"Secondary school education (high school degree)"	"Hispanic or Latino"	"Cisgender man"
"285"	96301272	"I live with my spouse/partner."	"$700-$900"	"More than $150"	"$500-$600"	"$100-$200"	"Less than $100"	"$150-$200"	"No"	"No"	"No"	"Sometimes"	"Once in a while"	"Never"	"Domestic"	""	""	"Secondary school education (high school degree)"	"White"	"Cisgender woman"
"286"	96301274	"I live with roommates."	"$500-$700"	"$50-$100"	"$200-$300"	"Less than $100"	"Less than $100"	"Less than $50"	"No"	"No"	"Yes"	"Sometimes"	"A few times a month"	"Once in a while"	"International"	""	""	"Master's degree"	"Black"	"Cisgender woman"
"287"	96301279	"I live alone."	"$1100-$1300"	"More than $150"	"$200-$300"	"$100-$200"	"I don't spend any money on health-related fees."	"$50-$100"	"Yes"	"No"	"No"	"Sometimes"	"Once in a while"	"Once in a while"	"Domestic"	""	""	"Master's degree"	"White"	NA
"288"	96301284	"I live with my spouse/partner."	"$1100-$1300"	"More than $150"	"$300-$400"	"$300-$400"	"$200-$300"	"Less than $50"	"Yes"	"Yes"	"No"	"Yes"	"A few times a week"	"A few times a week"	"Domestic"	""	""	"Secondary school education (high school degree)"	"White"	"Cisgender woman"
"289"	96301294	"I live with roommates."	"$500-$700"	"I don't spend any money on utilities."	"$200-$300"	"$100-$200"	"$100-$200"	"$50-$100"	"Yes"	"Yes"	"No"	"Sometimes"	"A few times a month"	"Once in a while"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender woman"
"290"	96301300	"I live with roommates."	"$500-$700"	"$50-$100"	"Less than $200"	"$100-$200"	"$300-$400"	"Less than $50"	"Yes"	"No"	"No"	"No"	"A few times a month"	"Never"	"Domestic"	""	""	"Associate's degree"	"White"	"Cisgender woman"
"291"	96301306	"I live with roommates."	"$700-$900"	"More than $150"	"$300-$400"	"$200-$300"	"Less than $100"	"$100-$150"	"No"	"Yes"	"Yes"	"Sometimes"	"Daily"	"Daily"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender man"
"292"	96301309	"I live with roommates."	"$500-$700"	"$100-$150"	"$200-$300"	"$100-$200"	"Less than $100"	"$50-$100"	"No"	"No"	"No"	"Yes"	"A few times a month"	"Once in a while"	"Domestic"	""	"Other"	"Secondary school education (high school degree)"	"White"	"Cisgender woman"
"293"	96301328	"I live with roommates."	"$700-$900"	"$50-$100"	"$400-$500"	"$100-$200"	"$100-$200"	"$100-$150"	"No"	"Yes"	"No"	"Sometimes"	"A few times a week"	"A few times a month"	"Domestic"	""	""	"Primary school education"	"White"	"Cisgender man"
"294"	96301331	"Other"	"$700-$900"	"More than $150"	"$400-$500"	"$300-$400"	"Less than $100"	"$50-$100"	"Yes"	"No"	"Yes"	"Yes"	"Daily"	"A few times a month"	"Domestic"	""	""	"Primary school education"	"White"	"Cisgender woman"
"295"	96301334	"I live with my spouse/partner."	"$1100-$1300"	"$100-$150"	"$300-$400"	"$200-$300"	"$400-$500"	"$50-$100"	"No"	"Yes"	"No"	"Yes"	"Daily"	"Once in a while"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender woman"
"296"	96301341	"I live with my spouse/partner."	"More than $1300"	"I don't spend any money on utilities."	"$200-$300"	"$100-$200"	"Less than $100"	"$50-$100"	"Yes"	"No"	"Yes"	"Sometimes"	"A few times a month"	"A few times a week"	"Domestic"	""	""	"Secondary school education (high school degree)"	"Black"	"Cisgender woman"
"297"	96301342	"I live with roommates."	"Less than $500"	"$50-$100"	"$200-$300"	"Less than $100"	"Less than $100"	"Less than $50"	"Yes"	"Yes"	"No"	"No"	"A few times a month"	"Never"	"Domestic"	""	""	"Doctorate degree"	"White"	"Cisgender woman"
"298"	96301375	"I live alone."	"More than $1300"	"$50-$100"	"$400-$500"	"$200-$300"	"Less than $100"	"$50-$100"	"Yes"	"Yes"	"No"	"Yes"	"A few times a month"	"Never"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender man"
"299"	96301384	"I live with roommates."	"$500-$700"	"$100-$150"	"$200-$300"	"$200-$300"	"Less than $100"	"$50-$100"	"No"	"No"	"No"	"Sometimes"	"A few times a week"	"Once in a while"	"International"	""	""	"Secondary school education (high school degree)"	"White"	"Cisgender man"
"300"	96301390	"I live alone."	"$1100-$1300"	"$50-$100"	"$500-$600"	"$100-$200"	"I don't spend any money on health-related fees."	"Less than $50"	"No"	"Yes"	"No"	"Yes"	"Once in a while"	"Once in a while"	"Domestic"	""	""	"Master's degree"	"Hispanic or Latino"	"Cisgender woman"
