"Uni"	"City"
"College of Coastal Georgia"	"Brunswick, GA"
"College of Hair Design - NE"	"Lincoln, NE"
"The College of Idaho"	"Caldwell, ID"
"College of Marin"	"Kentfield, CA"
"College of Menominee Nation"	"Keshena, WI"
"College of Mount Saint Vincent"	"Bronx, NY"
"The College of New Jersey"	"Ewing, NJ"
"College of Our Lady of the Elms"	"Chicopee, MA"
"College of Saint Benedict"	"Saint Joseph, MN"
"College of Saint Elizabeth"	"Morristown, NJ"
"College of Saint Mary"	"Omaha, NE"
"The College of Saint Rose"	"Albany, NY"
"College of San Mateo"	"San Mateo, CA"
"College of Southern Idaho"	"Twin Falls, ID"
"College of Southern Nevada"	"Las Vegas, NV"
"College of the Albemarle"	"Elizabeth City, NC"
"College of the Canyons"	"Santa Clarita, CA"
"College of the Desert"	"Palm Desert, CA"
"College of the Holy Cross"	"Worcester, MA"
"College of the Mainland"	"Texas City, TX"
"College of the Muscogee Nation"	"Okmulgee, OK"
"College of the Ozarks"	"Point Lookout, MO"
"College of the Redwoods"	"Eureka, CA"
"College of the Siskiyous"	"Weed, CA"
"The College of Westchester"	"White Plains, NY"
"College of Western Idaho"	"Nampa, ID"
"College of William and Mary"	"Williamsburg, VA"
"The College of Wooster"	"Wooster, OH"
"Collin College"	"McKinney, TX"
"Collins College"	"Phoenix, AZ"
"Colorado College"	"Colorado Springs, CO"
"Colorado Mesa University"	"Grand Junction, CO"
"Colorado Northwestern Community College"	"Rangely, CO"
"Colorado School of Mines"	"Golden, CO"
"Colorado School of Trades"	"Lakewood, CO"
"Colorado School of Traditional Chinese Medicine"	"Denver, CO"
"Colorado State University - Fort Collins"	"Fort Collins, CO"
"Columbia Basin College"	"Pasco, WA"
"Columbia College"	"Columbia, MO"
"Columbia College - CA"	"Sonora, CA"
"Columbia College - SC"	"Columbia, SC"
"Columbia College Chicago"	"Chicago, IL"
"Columbia College of Nursing"	"Glendale, WI"
"Columbia Gorge Community College"	"The Dalles, OR"
"Columbia Institute"	"Silver Spring, MD"
"Columbia State Community College"	"Columbia, TN"
"Columbia Theological Seminary"	"Decatur, GA"
"Columbia-Greene Community College"	"Hudson, NY"
"Columbiana County Career and Technical Center"	"Lisbon, OH"
"Columbus College of Art and Design"	"Columbus, OH"
"Columbus State Community College"	"Columbus, OH"
"Columbus State University"	"Columbus, GA"
"Columbus Technical College"	"Columbus, GA"
"Commonwealth Technical Institute"	"Johnstown, PA"
"Community Care College"	"Tulsa, OK"
"Community College of Aurora"	"Aurora, CO"
"The Community College of Baltimore County"	"Baltimore, MD"
"Community College of Denver"	"Denver, CO"
"Community College of Philadelphia"	"Philadelphia, PA"
"Community College of Rhode Island"	"Warwick, RI"
"Community College of Vermont"	"Winooski, VT"
"Community Services Division-Alliance City"	"Alliance, OH"
"Compton College"	"Compton, CA"
"Compu-Med Vocational Careers Corp"	"Hialeah, FL"
"Computer Tutor Business and Technical Institute"	"Modesto, CA"
"Concord University"	"Athens, WV"
"Concordia College at Moorhead"	"Moorhead, MN"
"Concordia University - Saint Paul"	"Saint Paul, MN"
"Concordia University - Texas"	"Austin, TX"
"Conemaugh Valley Memorial Hospital"	"Johnstown, PA"
"Connecticut College"	"New London, CT"
"Connors State College"	"Warner, OK"
"Conservatory of Recording Arts and Sciences"	"Tempe, AZ"
"Continental School of Beauty Culture"	"Mattydale, NY"
"Contra Costa College"	"San Pablo, CA"
"Converse College"	"Spartanburg, SC"
"Cooper Union for the Advancement of Science and Art"	"New York, NY"
"Copiah-Lincoln Community College"	"Wesson, MS"
"Copper Mountain Community College"	"Joshua Tree, CA"
"Coppin State University"	"Baltimore, MD"
"Corban University"	"Salem, OR"
"Corinth Academy of Cosmetology"	"Corinth, MS"
"Cornell College"	"Mount Vernon, IA"
"Cornell University"	"Ithaca, NY"
"Cornerstone University"	"Grand Rapids, MI"
"Cornish College of the Arts"	"Seattle, WA"
"Cosmetology Academy of Texarkana"	"Texarkana, TX"
"Cosmetology Career Center LLC"	"Carrollton, TX"
"Cosmetology Training Center"	"Lafayette, LA"
"Cossatot Community College of the University of Arkansas"	"De Queen, AR"
"Cosumnes River College"	"Sacramento, CA"
"Cottey College"	"Nevada, MO"
"County College of Morris"	"Randolph, NJ"
"Court Reporting Institute of St Louis"	"Clayton, MO"
"Covenant College"	"Lookout Mountain, GA"
"Covenant School of Nursing and Allied Health"	"Lubbock, TX"
"Covenant Theological Seminary"	"St. Louis, MO"
"Cowley County Community College"	"Arkansas City, KS"
"Cox College"	"Springfield, MO"
"Coyne College"	"Chicago, IL"
"Crafton Hills College"	"Yucaipa, CA"
"Cranbrook Academy of Art"	"Bloomfield Hills, MI"
"Craven Community College"	"New Bern, NC"
"The Creative Center"	"Omaha, NE"
"The Creative Circus"	"Atlanta, GA"
"Creative Hair Styling Academy Inc"	"Highland, IN"
"Creative Images Institute of Cosmetology-North Dayton"	"Dayton, OH"
"Crescent City Bartending School"	"New Orleans, LA"
"Crevier's School of Cosmetology"	"Kalispell, MT"
"Criswell College"	"Dallas, TX"
"Crowley's Ridge College"	"Paragould, AR"
"Crown College"	"Saint Bonifacius, MN"
"Culinary Institute of America"	"Hyde Park, NY"
"Culver-Stockton College"	"Canton, MO"
"Cumberland County College"	"Vineland, NJ"
"Cumberland University"	"Lebanon, TN"
"CUNY Bernard M Baruch College"	"New York, NY"
"CUNY Borough of Manhattan Community College"	"New York, NY"
"CUNY Bronx Community College"	"Bronx, NY"
"CUNY Brooklyn College"	"Brooklyn, NY"
"CUNY City College"	"New York, NY"
"CUNY College of Staten Island"	"Staten Island, NY"
"CUNY Graduate School and University Center"	"New York, NY"
"CUNY Guttman Community College"	"New York, NY"
"CUNY Hostos Community College"	"Bronx, NY"
"CUNY Hunter College"	"New York, NY"
"CUNY John Jay College of Criminal Justice"	"New York, NY"
"CUNY Kingsborough Community College"	"Brooklyn, NY"
"CUNY LaGuardia Community College"	"Long Island City, NY"
"CUNY Lehman College"	"Bronx, NY"
"CUNY Medgar Evers College"	"Brooklyn, NY"
"CUNY New York City College of Technology"	"Brooklyn, NY"
"CUNY Queens College"	"Flushing, NY"
"CUNY Queensborough Community College"	"Bayside, NY"
"CUNY School of Law at Queens College"	"Flushing, NY"
"CUNY York College"	"Jamaica, NY"
"Curry College"	"Milton, MA"
"Cuyahoga Valley Career Center"	"Brecksville, OH"
"Cuyamaca College"	"El Cajon, CA"
"CyberTex Institute of Technology"	"Austin, TX"
"Cypress College"	"Cypress, CA"
"D'Youville College"	"Buffalo, NY"
"Dabney S Lancaster Community College"	"Clifton Forge, VA"
"Daemen College"	"Amherst, NY"
"Dakota College at Bottineau"	"Bottineau, ND"
"Dakota County Technical College"	"Rosemount, MN"
"Dakota State University"	"Madison, SD"
"Dakota Wesleyan University"	"Mitchell, SD"
"Dallas Baptist University"	"Dallas, TX"
"Dallas Barber & Stylist College"	"Dallas, TX"
"Dallas Christian College"	"Dallas, TX"
"Dallas College Brookhaven Campus"	"Farmers Branch, TX"
"Dallas College Cedar Valley Campus"	"Lancaster, TX"
"Dallas Nursing Institute"	"Dallas, TX"
"Dallas Theological Seminary"	"Dallas, TX"
"Dalton State College"	"Dalton, GA"
"Danville Area Community College"	"Danville, IL"
"Danville Community College"	"Danville, VA"
"Dartmouth College"	"Hanover, NH"
"David Pressley School of Cosmetology"	"Royal Oak, MI"
"Davidson College"	"Davidson, NC"
"Davis & Elkins College"	"Elkins, WV"
"Davis College - OH"	"Toledo, OH"
"Davis Technical College"	"Kaysville, UT"
"Dawn Career Institute"	"Wilmington, DE"
"Dawson Community College"	"Glendive, MT"
"Daytona College"	"Ormond Beach, FL"
"De Anza College"	"Cupertino, CA"
"Dean College"	"Franklin, MA"
"Defiance College"	"Defiance, OH"
"Del Mar College"	"Corpus Christi, TX"
"Delaware College of Art and Design"	"Wilmington, DE"
"Delaware State University"	"Dover, DE"
"Delaware Valley University"	"Doylestown, PA"
"Delgado Community College"	"New Orleans, LA"
"Delta College"	"University Center, MI"
"Delta Montrose Technical College"	"Delta, CO"
"Delta State University"	"Cleveland, MS"
"Delta Technical College"	"Horn Lake, MS"
"Denison University"	"Granville, OH"
"Denmark Technical College"	"Denmark, SC"
"Denver College of Nursing"	"Denver, CO"
"Denver Seminary"	"Littleton, CO"
"DePaul University"	"Chicago, IL"
"DePauw University"	"Greencastle, IN"
"Des Moines University"	"Des Moines, IA"
"DeSales University"	"Center Valley, PA"
"Design Institute of San Diego"	"San Diego, CA"
"DeVry College of New York"	"New York, NY"
"Diablo Valley College"	"Pleasant Hill, CA"
"Diamond Beauty College"	"South El Monte, CA"
"Dickinson College"	"Carlisle, PA"
"Dickinson State University"	"Dickinson, ND"
"DigiPen Institute of Technology"	"Redmond, WA"
"Dillard University"	"New Orleans, LA"
"Dine College"	"Tsaile, AZ"
"Diversified Vocational College"	"Los Angeles, CA"
"Dixie Technical College"	"St. George, UT"
"Doane College-Crete"	"Crete, NE"
"Doane University"	"Lincoln, NE"
"Dodge City Community College"	"Dodge City, KS"
"Dominican College of Blauvelt"	"Orangeburg, NY"
"Dominican University"	"River Forest, IL"
"Dominican University of California"	"San Rafael, CA"
"Dongguk University Los Angeles"	"Los Angeles, CA"
"Donnelly College"	"Kansas City, KS"
"Dordt University"	"Sioux Center, IA"
"Dorothea Hopfer School of Nursing-Mt Vernon Hospital"	"Mount Vernon, NY"
"Douglas Education Center"	"Monessen, PA"
"Douglas J Aveda Institute"	"East Lansing, MI"
"Downey Adult School"	"Downey, CA"
"Drake University"	"Des Moines, IA"
"Drew University"	"Madison, NJ"
"Drexel University"	"Philadelphia, PA"
"Drury University"	"Springfield, MO"
"Duke University"	"Durham, NC"
"Dunwoody College of Technology"	"Minneapolis, MN"
"Duquesne University"	"Pittsburgh, PA"
"Dutchess BOCES-School of Practical Nursing"	"Poughkeepsie, NY"
"Dutchess Community College"	"Poughkeepsie, NY"
"DuVall's School of Cosmetology"	"Bedford, TX"
"Dyersburg State Community College"	"Dyersburg, TN"
"Eagle Rock College"	"Los Angeles, CA"
"Earlham College"	"Richmond, IN"
"East Arkansas Community College"	"Forrest City, AR"
"East Carolina University"	"Greenville, NC"
"East Central College"	"Union, MO"
"East Central Community College"	"Decatur, MS"
"East Central University"	"Ada, OK"
"East Georgia State College"	"Swainsboro, GA"
"East Los Angeles College"	"Monterey Park, CA"
"East Mississippi Community College"	"Scooba, MS"
"East San Gabriel Valley Regional Occupational Program"	"West Covina, CA"
"East Stroudsburg University of Pennsylvania"	"East Stroudsburg, PA"
"East Tennessee State University"	"Johnson City, TN"
"East Texas Baptist University"	"Marshall, TX"
"East Valley Institute of Technology"	"Mesa, AZ"
"East West College of Natural Medicine"	"Sarasota, FL"
"Eastern Arizona College"	"Thatcher, AZ"
"Eastern Center for Arts and Technology"	"Willow Grove, PA"
"Eastern Connecticut State University"	"Willimantic, CT"
"Eastern Florida State College"	"Cocoa, FL"
"Eastern Gateway Community College"	"Steubenville, OH"
"Eastern Idaho Technical College"	"Idaho Falls, ID"
"Eastern Illinois University"	"Charleston, IL"
"Eastern Iowa Community College District"	"Davenport, IA"
"Eastern Maine Community College"	"Bangor, ME"
"Eastern Mennonite University"	"Harrisonburg, VA"
"Eastern Nazarene College"	"Quincy, MA"
"Eastern New Mexico University - Main Campus"	"Portales, NM"
"Eastern New Mexico University-Roswell Campus"	"Roswell, NM"
"Eastern New Mexico University-Ruidoso Campus"	"Ruidoso, NM"
"Eastern Oklahoma County Technology Center"	"Choctaw, OK"
"Eastern Oklahoma State College"	"Wilburton, OK"
"Eastern Shore Community College"	"Melfa, VA"
"Eastern Suffolk BOCES-School of Practical Nursing"	"Patchogue, NY"
"Eastern University"	"Saint Davids, PA"
"Eastern Virginia Medical School"	"Norfolk, VA"
"Eastern West Virginia Community and Technical College"	"Moorefield, WV"
"Eastern Wyoming College"	"Torrington, WY"
"Eastfield College"	"Mesquite, TX"
"Eastland-Fairfield Career and Technical Schools"	"Groveport, OH"
"Ecclesia College"	"Springdale, AR"
"Eckerd College"	"St. Petersburg, FL"
"Eden Theological Seminary"	"Webster Grove, MO"
"Edgecombe Community College"	"Tarboro, NC"
"Edinboro University of Pennsylvania"	"Edinboro, PA"
"Edison State Community College"	"Piqua, OH"
"Edmonds College"	"Lynnwood, WA"
"EDP School of Computer Programming"	"Brooklyn, NY"
"Edward Via College of Osteopathic Medicine"	"Blacksburg, VA"
"Edward Waters College"	"Jacksonville, FL"
"Ehove Career Center"	"Milan, OH"
"El Camino Community College District"	"Torrance, CA"
"El Centro College"	"Dallas, TX"
"El Paso Community College"	"El Paso, TX"
"Elaine Steven Beauty College"	"St. Louis, MO"
"Elgin Community College"	"Elgin, IL"
"Elizabeth City State University"	"Elizabeth City, NC"
"Elizabethtown College"	"Elizabethtown, PA"
"Elizabethtown Community and Technical College"	"Elizabethtown, KY"
"Ellsworth Community College"	"Iowa Falls, IA"
"Elmhurst College"	"Elmhurst, IL"
"Elmira College"	"Elmira, NY"
"Elon University"	"Elon, NC"
"Embry Riddle Aeronautical University-Prescott"	"Prescott, AZ"
"Embry-Riddle Aeronautical University - Worldwide"	"Daytona Beach, FL"
"Embry-Riddle Aeronautical University-Daytona Beach"	"Daytona Beach, FL"
"Emerson College"	"Boston, MA"
"Emily Griffith Technical College"	"Denver, CO"
"Emmanuel College - GA"	"Franklin Springs, GA"
"Emmanuel College - MA"	"Boston, MA"
"Emmaus Bible College"	"Dubuque, IA"
"Emory and Henry College"	"Emory, VA"
"Emory University"	"Atlanta, GA"
"Emperor's College of Traditional Oriental Medicine"	"Santa Monica, CA"
"Empire Beauty School-Augusta"	"Augusta, GA"
"Empire Beauty School-Rochester"	"Rochester, NY"
"Empire Beauty School-Stone Park"	"Stone Park, IL"
"Empire Beauty School-Vernon Hills"	"Vernon Hills, IL"
"Empire College"	"Santa Rosa, CA"
"Employment Solutions-College for Technical Education"	"Lexington, KY"
"Endicott College"	"Beverly, MA"
"Environmental Technical Institute"	"Itasca, IL"
"Episcopal Theological Seminary of the Southwest"	"Austin, TX"
"Eric Fisher Academy"	"Wichita, KS"
"Erie 1 BOCES"	"West Seneca, NY"
"Erie 2 Chautauqua Cattaraugus BOCES-Practical Nursing Program"	"Angola, NY"
"Erie Community College"	"Buffalo, NY"
"Erie Institute of Technology Inc"	"Erie, PA"
"Erikson Institute"	"Chicago, IL"
"Erskine College and Seminary"	"Due West, SC"
"Erwin Technical College"	"Tampa, FL"
"Essex County College"	"Newark, NJ"
"Estes Institute of Cosmetology Arts and Science"	"Visalia, CA"
"Esthetiques Cosmetology Institute"	"Temecula, CA"
"ETI Technical College"	"Niles, OH"
"Eureka College"	"Eureka, IL"
"Evangel University"	"Springfield, MO"
"Everett Community College"	"Everett, WA"
"The Evergreen State College"	"Olympia, WA"
"Evergreen Valley College"	"San Jose, CA"
"Excelsior University"	"Albany, NY"
"Extreme Institute by Nelly"	"St. Louis, MO"
"Fairfield University"	"Fairfield, CT"
"Fairleigh Dickinson University-College at Florham"	"Madison, NJ"
"Fairmont State University"	"Fairmont, WV"
"Faith Baptist Bible College and Theological Seminary"	"Ankeny, IA"
"Faith International University"	"Tacoma, WA"
"Farmingdale State College"	"Farmingdale, NY"
"Fashion Institute of Technology"	"New York, NY"
"Fayette County Area Vocational-Technical School-Practical Nursing Program"	"Uniontown, PA"
"Fayetteville State University"	"Fayetteville, NC"
"Feather River Community College District"	"Quincy, CA"
"Felician University"	"Lodi, NJ"
"Ferris State University"	"Big Rapids, MI"
"Ferrum College"	"Ferrum, VA"
"Fielding Graduate University"	"Santa Barbara, CA"
"Finger Lakes Community College"	"Canandaigua, NY"
"Finger Lakes Health College of Nursing"	"Geneva, NY"
"Finlandia University"	"Hancock, MI"
"First Coast Technical College"	"St. Augustine, FL"
"Fisher College"	"Boston, MA"
"Fisk University"	"Nashville, TN"
"Five Branches University"	"Santa Cruz, CA"
"Five Towns College"	"Dix Hills, NY"
"Flagler College-St Augustine"	"St. Augustine, FL"
"Flagler College-Tallahassee"	"Tallahassee, FL"
"Flagler Technical College"	"Palm Coast, FL"
"Flathead Valley Community College"	"Kalispell, MT"
"Fletcher Technical Community College"	"Houma, LA"
"Flint Hills Technical College"	"Emporia, KS"
"Florence-Darlington Technical College"	"Florence, SC"
"Florida Academy"	"Fort Myers, FL"
"Florida Atlantic University"	"Boca Raton, FL"
"Florida Barber Academy"	"Pompano Beach, FL"
"Florida Coastal School of Law"	"Jacksonville, FL"
"Florida College"	"Temple Terrace, FL"
"Florida College of Integrative Medicine"	"Orlando, FL"
"Florida Education Institute"	"Miami, FL"
"Florida Gateway College"	"Lake City, FL"
"Florida Institute of Recording, Sound and Technology"	"Orlando, FL"
"Florida Institute of Technology"	"Melbourne, FL"
"Florida International University"	"Miami, FL"
"Florida Keys Community College"	"Key West, FL"
"Florida Memorial University"	"Miami Gardens, FL"
"Florida Southern College"	"Lakeland, FL"
"Florida State College at Jacksonville"	"Jacksonville, FL"
"Folsom Lake College"	"Folsom, CA"
"Fond du Lac Tribal and Community College"	"Cloquet, MN"
"Foothill College"	"Los Altos Hills, CA"
"Forrest College"	"Anderson, SC"
"Forsyth Technical Community College"	"Winston Salem, NC"
"Fort Hays State University"	"Hays, KS"
"Fort Lewis College"	"Durango, CO"
"Fort Peck Community College"	"Poplar, MT"
"Fort Scott Community College"	"Fort Scott, KS"
"Fort Worth Beauty School"	"Fort Worth, TX"
"Fountainhead College of Technology"	"Knoxville, TN"
"Four County Career Center"	"Archbold, OH"
"Fox College"	"Bedford Park, IL"
"Framingham State University"	"Framingham, MA"
"Francis Marion University"	"Florence, SC"
"Francis Tuttle Technology Center"	"Oklahoma City, OK"
"Franciscan University of Steubenville"	"Steubenville, OH"
"Frank Phillips College"	"Borger, TX"
"Franklin Academy"	"Cleveland, TN"
"Franklin and Marshall College"	"Lancaster, PA"
"Franklin College"	"Franklin, IN"
"Franklin Pierce University"	"Rindge, NH"
"Franklin Technology-MSSU"	"Joplin, MO"
"Franklin University"	"Columbus, OH"
"Franklin W. Olin College of Engineering"	"Needham, MA"
"Fred W Eberle Technical Center"	"Buckhannon, WV"
"Frederick Community College"	"Frederick, MD"
"Freed-Hardeman University"	"Henderson, TN"
"French Culinary Institute"	"New York, NY"
"Fresno City College"	"Fresno, CA"
"Friends University"	"Wichita, KS"
"Front Range Community College"	"Westminster, CO"
"Frontier Community College"	"Fairfield, IL"
"Frontier Nursing University"	"Hyden, KY"
"Frostburg State University"	"Frostburg, MD"
"Fullerton College"	"Fullerton, CA"
"Fulton-Montgomery Community College"	"Johnstown, NY"
"Furman University"	"Greenville, SC"
"Futura Career Institute"	"Hialeah, FL"
"Future Generations University"	"Franklin, WV"
"Gadsden State Community College"	"Gadsden, AL"
"Gallaudet University"	"Washington D.C., DC"
"Gallery College of Beauty"	"Clinton Township, MI"
"Gallia Jackson Vinton Joint Vocational School District"	"Rio Grande, OH"
"Galveston College"	"Galveston, TX"
"Gannon University"	"Erie, PA"
"Garden City Community College"	"Garden City, KS"
"Gardner Webb University"	"Boiling Springs, NC"
"Garnet Career Center"	"Charleston, WV"
"Garrett College"	"McHenry, MD"
"Garrett-Evangelical Theological Seminary"	"Evanston, IL"
"Gary Manuel Aveda Institute"	"Seattle, WA"
"Gaston College"	"Dallas, NC"
"Gateway Community and Technical College"	"Florence, KY"
"GateWay Community College - AZ"	"Phoenix, AZ"
"Gateway Community College - CT"	"New Haven, CT"
"Gateway Technical College"	"Kenosha, WI"
"Gavilan College"	"Gilroy, CA"
"Geisinger Commonwealth School of Medicine"	"Scranton, PA"
"Gemini School of Visual Arts & Communication"	"Cedar Park, TX"
"Gemological Institute of America"	"Carlsbad, CA"
"Gemological Institute of America-New York"	"New York, NY"
"Genesee Community College"	"Batavia, NY"
"Genesee Valley BOCES-Practical Nursing Program"	"Batavia, NY"
"George Fox University"	"Newberg, OR"
"George Stone Technical College"	"Pensacola, FL"
"George T Baker Aviation Technical College"	"Miami, FL"
"George Washington University - Engineering"	"Washington D.C., DC"
"Georgetown College"	"Georgetown, KY"
"Georgetown University"	"Washington D.C., DC"
"Georgia Career Institute"	"Conyers, GA"
"Georgia Central University"	"Lilburn, GA"
"Georgia College & State University"	"Milledgeville, GA"
"Georgia Gwinnett College"	"Lawrenceville, GA"
"Georgia Highlands College"	"Rome, GA"
"Georgia Institute of Cosmetology"	"Athens, GA"
"Georgia Military College"	"Milledgeville, GA"
"Georgia Piedmont Technical College"	"Clarkston, GA"
"Georgia Southern University"	"Statesboro, GA"
"Georgia Southwestern State University"	"Americus, GA"
"Georgia State University"	"Atlanta, GA"
"Georgia State University-Perimeter College"	"Decatur, GA"
"Georgian Court University"	"Lakewood, NJ"
"Germanna Community College"	"Locust Grove, VA"
"Gettysburg College"	"Gettysburg, PA"
"Glen Dow Academy of Hair Design"	"Spokane, WA"
"Glen Oaks Community College"	"Centreville, MI"
"Glendale Community College - AZ"	"Glendale, AZ"
"Glendale Community College - CA"	"Glendale, CA"
"Glenville State College"	"Glenville, WV"
"Gnomon School of Visual Effects"	"Hollywood, CA"
"God's Bible School and College"	"Cincinnati, OH"
"Goddard College"	"Plainfield, VT"
"Gogebic Community College"	"Ironwood, MI"
"Golden West College"	"Huntington Beach, CA"
"Goldey-Beacom College"	"Wilmington, DE"
"Gonzaga University"	"Spokane, WA"
"Good Samaritan College of Nursing & Health Science"	"Cincinnati, OH"
"Goodwin University"	"East Hartford, CT"
"Gordon Cooper Technology Center"	"Shawnee, OK"
"Gordon State College - GA"	"Barnesville, GA"
"Gordon-Conwell Theological Seminary"	"South Hamilton, MA"
"Goshen College"	"Goshen, IN"
"Goucher College"	"Baltimore, MD"
"Governors State University"	"University Park, IL"
"Grabber School of Hair Design"	"Ballwin, MO"
"Grace Christian University"	"Wyoming, MI"
"Grace College and Theological Seminary"	"Winona Lake, IN"
"Grace College of Divinity"	"Fayetteville, NC"
"Grace School of Theology"	"Conroe, TX"
"Grambling State University"	"Grambling, LA"
"Grand View University"	"Des Moines, IA"
"Granite State College"	"Concord, NH"
"Gratz College"	"Melrose Park, PA"
"Grays Harbor College"	"Aberdeen, WA"
"Grayson College"	"Denison, TX"
"Great Basin College"	"Elko, NV"
"Great Bay Community College"	"Portsmouth, NH"
"Great Lakes Christian College"	"Lansing, MI"
"Great Lakes Institute of Technology"	"Erie, PA"
"Great Oaks Career Campuses"	"Cincinnati, OH"
"Great Plains Technology Center"	"Lawton, OK"
"Greater Altoona Career & Technology Center"	"Altoona, PA"
"Greater Johnstown Career and Technology Center"	"Johnstown, PA"
"Green Country Technology Center"	"Okmulgee, OK"
"Green River Community College"	"Auburn, WA"
"Greene County Career Center"	"Xenia, OH"
"Greenfield Community College"	"Greenfield, MA"
"Greensboro College"	"Greensboro, NC"
"Greenville Technical College"	"Greenville, SC"
"Grinnell College"	"Grinnell, IA"
"Grossmont College"	"El Cajon, CA"
"Grove City College"	"Grove City, PA"
"Guilford College"	"Greensboro, NC"
"Guilford Technical Community College"	"Jamestown, NC"
"Gulf Coast State College"	"Panama City, FL"
"Gustavus Adolphus College"	"Saint Peter, MN"
"H Councill Trenholm State Community College"	"Montgomery, AL"
"Hacienda La Puente Adult Education"	"La Puente, CA"
"Hagerstown Community College"	"Hagerstown, MD"
"Hair Academy Inc-New Carrollton"	"New Carrollton, MD"
"Hair Academy Paul Mitchell Partner School"	"Rexburg, ID"
"Hairmasters Institute of Cosmetology"	"Bloomington, IL"
"Halifax Community College"	"Weldon, NC"
"Hamilton College - NY"	"Clinton, NY"
"Hamline University"	"Saint Paul, MN"
"Hampden-Sydney College"	"Hampden-Sydney, VA"
"Hampshire College"	"Amherst, MA"
"Hampton University"	"Hampton, VA"
"Hannibal-LaGrange University"	"Hannibal, MO"
"Hanover College"	"Hanover, IN"
"Harcum College"	"Bryn Mawr, PA"
"Hardin-Simmons University"	"Abilene, TX"
"Harding University"	"Searcy, AR"
"Harford Community College"	"Bel Air, MD"
"Harrington College of Design"	"Chicago, IL"
"Harris-Stowe State University"	"St. Louis, MO"
"Harrisburg Area Community College-Harrisburg"	"Harrisburg, PA"
"Harrisburg University of Science and Technology"	"Harrisburg, PA"
"Hartford Seminary"	"Hartford, CT"
"Hartnell College"	"Salinas, CA"
"Hartwick College"	"Oneonta, NY"
"Harvard University"	"Cambridge, MA"
"Harvey Mudd College"	"Claremont, CA"
"Haskell Indian Nations University"	"Lawrence, KS"
"Hastings College"	"Hastings, NE"
"Haverford College"	"Haverford, PA"
"Hawai'i Pacific University"	"Honolulu, HI"
"Hawaii Community College"	"Hilo, HI"
"Hawaii Medical College"	"Honolulu, HI"
"Hawkeye Community College"	"Waterloo, IA"
"Haywood Community College"	"Clyde, NC"
"Hazard Community and Technical College"	"Hazard, KY"
"Heartland Community College"	"Normal, IL"
"Hebrew College"	"Newton Centre, MA"
"Hebrew Theological College"	"Skokie, IL"
"Hebrew Union College-Jewish Institute of Religion-New York"	"New York, NY"
"Heidelberg University"	"Tiffin, OH"
"Helena College University of Montana"	"Helena, MT"
"Helene Fuld College of Nursing"	"New York, NY"
"Hellenic College-Holy Cross Greek Orthodox School of Theology"	"Brookline, MA"
"Helms College"	"Macon, GA"
"Henderson Community College"	"Henderson, KY"
"Hendrix College"	"Conway, AR"
"Hennepin Technical College"	"Brooklyn Park, MN"
"Henry Ford College"	"Dearborn, MI"
"Heritage University"	"Toppenish, WA"
"Herkimer County BOCES-Practical Nursing Program"	"Ilion, NY"
"Herkimer County Community College"	"Herkimer, NY"
"Hesston College"	"Hesston, KS"
"Hi-Tech School of Cosmetology"	"Miami, FL"
"Hibbing Community College"	"Hibbing, MN"
"High Plains Technology Center"	"Woodward, OK"
"High Point University"	"High Point, NC"
"Highland Community College - KS"	"Highland, KS"
"Highlands College of Montana Tech"	"Butte, MT"
"Highline Community College"	"Des Moines, WA"
"Hilbert College"	"Hamburg, NY"
"Hill College"	"Hillsboro, TX"
"Hillsborough Community College"	"Tampa, FL"
"Hilltop Beauty School"	"Daly City, CA"
"Hillyard Technical Center"	"St. Joseph, MO"
"Hiram College"	"Hiram, OH"
"Hiwassee College"	"Madisonville, TN"
"Hobart and William Smith Colleges"	"Geneva, NY"
"Hodges University"	"Naples, FL"
"Hofstra University"	"Hempstead, NY"
"Hollins University"	"Roanoke, VA"
"Holmes Community College"	"Goodman, MS"
"Holy Apostles"	"Cromwell, CT"
"Holy Cross College"	"Notre Dame, IN"
"Holy Family University"	"Philadelphia, PA"
"Holy Name Medical Center School of Nursing"	"Teaneck, NJ"
"Holy Names University"	"Oakland, CA"
"Holyoke Community College"	"Holyoke, MA"
"Homestead Schools"	"Torrance, CA"
"Hondros College of Nursing"	"Westerville, OH"
"Honolulu Community College"	"Honolulu, HI"
"Honors Beauty College"	"Indianapolis, IN"
"Hood College"	"Frederick, MD"
"Hope College"	"Holland, MI"
"Hope International University"	"Fullerton, CA"
"Hopkinsville Community College"	"Hopkinsville, KY"
"Horry-Georgetown Technical College"	"Conway, SC"
"Houghton College"	"Houghton, NY"
"Housatonic Community College"	"Bridgeport, CT"
"Houston Graduate School of Theology"	"Houston, TX"
"Houston Training School-Gulfgate"	"Houston, TX"
"Howard College"	"Big Spring, TX"
"Howard Community College"	"Columbia, MD"
"Howard Payne University"	"Brownwood, TX"
"Howard University"	"Washington D.C., DC"
"Hudson County Community College"	"Jersey City, NJ"
"Hudson Valley Community College"	"Troy, NY"
"Hult International Business School"	"Cambridge, MA"
"Humboldt State University"	"Arcata, CA"
"Huntingdon College"	"Montgomery, AL"
"Huntington Junior College"	"Huntington, WV"
"Huntington School of Beauty Culture-Main Campus"	"Huntington, WV"
"Huntington University"	"Huntington, IN"
"Huntsville Bible College"	"Huntsville, AL"
"Huston-Tillotson University"	"Austin, TX"
