"Program"	"College"	"uni"	"program"	"stipend"	"value"	"year"	"year_in"	"comment"	"mo_12"	"mo_9"	"mo_3"	"fees"	"Uni"	"City"	"metro_area"	"rank"	"living"	"poverty"	"dist"	"dist2"
"Civil Engineering"	"Engineering and Computing"	"Louisiana State University - Baton Rouge"	"Civil Engineering"	"19200"	"0.88"	"2021-2022"	"1st"	NA	"$19,200"	NA	NA	NA	"Louisiana State University--Baton Rouge"	"Baton Rouge, LA"	"Baton Rouge, LA"	153	34028.8	12875.2	0.0559154295996402	0
"Civil Engineering"	"Engineering and Computing"	"Louisiana State University - Baton Rouge"	"Civil Engineering"	"22000"	"1.01"	"2021-2022"	"1st"	NA	"$22,000"	NA	NA	NA	"Louisiana State University--Baton Rouge"	"Baton Rouge, LA"	"Baton Rouge, LA"	153	34028.8	12875.2	0.0559154295996402	0
"Civil Engineering"	"Engineering and Computing"	"Louisiana State University - Baton Rouge"	"Civil Engineering"	"20666"	"0.95"	"2022-2023"	"3rd"	"The fees (185/month) are required for Fall/spring but not for summer (registration for summer is <span class=\"\"truncated\"\"> optional)</span>"	"$20,666"	NA	NA	NA	"Louisiana State University--Baton Rouge"	"Baton Rouge, LA"	"Baton Rouge, LA"	153	34028.8	12875.2	0.0559154295996402	0
"Civil Engineering"	"Engineering and Computing"	"Marquette University"	"Civil Engineering"	"22150"	"1.03"	"2018-2019"	"2nd"	NA	"$23,500"	NA	NA	"$1,350"	"Marquette University"	"Milwaukee, WI"	"Milwaukee-Waukesha-West Allis, WI"	84	33779.2	12875.2	0	0
"Civil Engineering"	"Engineering and Computing"	"Michigan State University"	"Civil Engineering"	"25200"	"1.23"	"2022-2023"	"2nd"	NA	"$25,200"	NA	NA	NA	"Michigan State University"	"East Lansing, MI"	"Lansing-East Lansing, MI"	84	32552	12875.2	0	0
"Civil Engineering"	"Engineering and Computing"	"Michigan State University"	"Civil Engineering"	"21000"	"1.02"	"2022-2023"	"2nd"	NA	"$21,000"	NA	NA	NA	"Michigan State University"	"East Lansing, MI"	"Lansing-East Lansing, MI"	84	32552	12875.2	0	0
"Civil Engineering"	"Engineering and Computing"	"Michigan State University"	"Civil Engineering"	"21009"	"1.02"	"2022-2023"	"2nd"	NA	"$21,009"	NA	NA	NA	"Michigan State University"	"East Lansing, MI"	"Lansing-East Lansing, MI"	84	32552	12875.2	0	0
"Civil Engineering"	"Engineering and Computing"	"Northwestern University"	"Civil Engineering"	"34500"	"1.42"	"2022-2023"	"2nd"	NA	"$35,000"	NA	NA	"$500"	"Northeastern University"	"Boston, MA"	"Boston-Cambridge-Newton, MA"	40	46924.8	12875.2	0.0289855072463768	0
"Civil Engineering"	"Engineering and Computing"	"Rice University"	"Civil Engineering"	"24000"	"1.10"	"2017-2018"	"1st"	NA	"$24,000"	NA	NA	NA	"Rice University"	"Houston, TX"	"Houston-The Woodlands-Sugar Land, TX"	17	34091.2	12875.2	0	0
"Civil Engineering"	"Engineering and Computing"	"University of Central Florida"	"Civil Engineering"	"16867"	"0.73"	"2019-2020"	"3rd"	"im a research assistant with a tution waiver, and adviser pays the other fees (about $900) but some <span class=\"\"truncated\"\"> of my colleagues have to pay on their own. </span>"	"$16,867"	NA	NA	NA	"University of Central Florida"	"Orlando, FL"	"Orlando-Kissimmee-Sanford, FL"	166	36628.8	12875.2	0	0
"Civil Engineering"	"Engineering and Computing"	"University of Florida"	"Civil Engineering"	"25300"	"1.31"	"2014-2015"	NA	NA	"$27,000"	NA	NA	"$1,700"	"University of Florida"	"Gainesville, FL"	"Gainesville, FL"	34	31740.8	12875.2	0	0
"Civil Engineering"	"Engineering and Computing"	"University of Illinois - Urbana- Champaign"	"Civil Engineering"	"17910"	"0.81"	"2017-2018"	"1st"	NA	"$17,910"	NA	NA	NA	"University of Illinois--Urbana-Champaign"	"Champaign, IL"	"Champaign-Urbana, IL"	48	35422.4	12875.2	0.0620573870573872	0
"Civil Engineering"	"Engineering and Computing"	"University of Illinois - Urbana- Champaign"	"Civil Engineering"	"15600"	"0.71"	"2017-2018"	"1st"	NA	"$15,600"	NA	NA	NA	"University of Illinois--Urbana-Champaign"	"Champaign, IL"	"Champaign-Urbana, IL"	48	35422.4	12875.2	0.0620573870573872	0
"Civil Engineering"	"Engineering and Computing"	"University of Kentucky"	"Civil Engineering"	"13400"	"0.66"	"2016-2017"	"1st"	NA	NA	"$14,400"	NA	"$1,000"	"University of Kentucky"	"Lexington, KY"	"Lexington-Fayette, KY"	132	32260.8	12875.2	0	0
"Civil Engineering"	"Engineering and Computing"	"University of Kentucky"	"Civil Engineering"	"18440"	"0.90"	"2016-2017"	"1st"	NA	"$19,200"	NA	NA	"$760"	"University of Kentucky"	"Lexington, KY"	"Lexington-Fayette, KY"	132	32260.8	12875.2	0	0
"Civil Engineering"	"Engineering and Computing"	"University of South Florida"	"Civil Engineering"	"18200"	NA	"2016-2017"	"1st"	"+ Health Insurance and Tuition Waiver"	"$20,000"	NA	NA	"$1,800"	"University of South Florida"	"Tampa, FL"	"Tampa-St. Petersburg-Clearwater, FL"	104	35713.6	12875.2	0	0
"Civil Engineering"	"Engineering and Computing"	"University of Southern California"	"Civil Engineering"	"32000"	"1.24"	"2015-2016"	NA	NA	"$32,000"	NA	NA	NA	"University of Southern California"	"Los Angeles, CA"	"Los Angeles-Long Beach-Anaheim, CA"	22	44969.6	12875.2	0	0
"Civil Engineering"	"Engineering and Computing"	"Vanderbilt University"	"Civil Engineering"	"28200"	"1.23"	"2016-2017"	NA	NA	"$28,200"	NA	NA	NA	"Vanderbilt University"	"Nashville, TN"	"Nashville-Davidson--Murfreesboro--Franklin, TN"	15	35318.4	12875.2	0	0
"Civil Engineering"	"Engineering and Computing"	"Virginia Tech"	"Civil Engineering"	"43692"	"2.07"	"2018-2019"	"1st"	NA	"$43,992"	NA	NA	"$300"	"Virginia Tech"	"Blacksburg, VA"	"Blacksburg-Christiansburg-Radford, VA"	74	35068.8	12875.2	0	0
"Civil Engineering"	"Engineering and Computing"	"Virginia Tech"	"Civil Engineering"	"27745"	"1.32"	"2022-2023"	"1st"	NA	"$29,150"	NA	NA	"$1,405"	"Virginia Tech"	"Blacksburg, VA"	"Blacksburg-Christiansburg-Radford, VA"	74	35068.8	12875.2	0	0
"Communication Sciences and Disorder"	"Public Health"	"Northwestern University"	"Communication Sciences and Disorders"	"29520"	"1.22"	"2018-2019"	"3rd"	"The gross pay for the stipend is $30,000/year and then $120/quarter for fees. The fees include the <span class=\"\"truncated\"\"> university gym membership, free CTA transit (public transportation), and other student discounts. We also receive free healthcare that is really good. However,  it&#39;s very expensive to add a spouse ($350/month). </span>"	"$30,000"	NA	NA	"$480"	"Northeastern University"	"Boston, MA"	"Boston-Cambridge-Newton, MA"	40	46924.8	12875.2	0.0289855072463768	0.0092592592592593
"Communication Sciences and Disorder"	"Public Health"	"University of Iowa"	"Communication Sciences and Disorders"	"25236"	"1.14"	"2018-2019"	"2nd"	NA	NA	"$19,236"	"$6,000"	NA	"University of Iowa"	"Iowa City, IA"	"Iowa City, IA"	84	35131.2	12875.2	0	0.0092592592592593
"Communication Sciences and Disorder"	"Public Health"	"University of Memphis"	"Communication Sciences and Disorders"	"16800"	"0.75"	"2019-2020"	"1st"	NA	"$16,800"	NA	NA	NA	"University of Memphis"	"Memphis, TN"	"Memphis, TN"	272	31116.8	12875.2	0	0.0092592592592593
"Communication Sciences and Disorder"	"Public Health"	"University of Memphis"	"Communication Sciences and Disorders"	"16000"	"0.71"	"2018-2019"	"4th"	"We have to cover fees for online courses. Those are not covered by a tuition waiver."	"$16,000"	NA	NA	NA	"University of Memphis"	"Memphis, TN"	"Memphis, TN"	272	31116.8	12875.2	0	0.0092592592592593
"Communication Sciences and Disorder"	"Public Health"	"University of Memphis"	"Communication Sciences and Disorders"	"16800"	"0.75"	"2019-2020"	"5th"	NA	"$16,800"	NA	NA	NA	"University of Memphis"	"Memphis, TN"	"Memphis, TN"	272	31116.8	12875.2	0	0.0092592592592593
"Communication Sciences and Disorder"	"Public Health"	"University of North Carolina - Greensboro"	"Communication Sciences and Disorders"	"10000"	"0.47"	"2020-2021"	"4th"	NA	NA	"$10,000"	NA	NA	"University of North Carolina--Greensboro"	"Greensboro, NC"	"Greensboro-High Point, NC"	272	33529.6	12875.2	0.0245934959349594	0.0092592592592593
"Communication Sciences and Disorder"	"Public Health"	"University of North Carolina - Greensboro"	"Communication Sciences and Disorders"	"10000"	"0.47"	"2020-2021"	"4th"	"I have a master’#"	NA	"$10,000"	NA	NA	"University of North Carolina--Greensboro"	"Greensboro, NC"	"Greensboro-High Point, NC"	272	33529.6	12875.2	0.0245934959349594	0.0092592592592593
"Communication Sciences and Disorder"	"Public Health"	"University of Utah"	"Communication Sciences and Disorders"	"15000"	"0.67"	"2018-2019"	NA	NA	NA	"$15,000"	NA	NA	"University of Utah"	"Salt Lake City, UT"	"Salt Lake City, UT"	104	35464	12875.2	0	0.0092592592592593
"Comparative Literature"	"Arts and Sciences"	"Brown University"	"Comparative Literature"	"37010"	"1.63"	"2020-2021"	"1st"	NA	"$37,260"	NA	NA	"$250"	"Brown University"	"Providence, RI"	"Providence-Warwick, RI"	14	36004.8	12875.2	0	0
"Comparative Literature"	"Arts and Sciences"	"Cornell University"	"Comparative Literature"	"31994"	"1.32"	"2019-2020"	"1st"	"26426 AY stipend for five years,  5568 summer stipend for first four years"	"$31,994"	NA	NA	NA	"Cornell University"	"Ithaca, NY"	"Ithaca, NY"	17	39020.8	12875.2	0	0
"Comparative Literature"	"Arts and Sciences"	"Emory University"	"Comparative Literature"	"20988"	"0.90"	"2015-2016"	"4th"	NA	"$22,000"	NA	NA	"$1,012"	"Emory University"	"Atlanta, GA"	"Atlanta-Sandy Springs-Roswell, GA"	21	38209.6	12875.2	0	0
"Comparative Literature"	"Arts and Sciences"	"Harvard University"	"Comparative Literature"	"36600"	"1.28"	"2020-2021"	"1st"	NA	NA	"$30,500"	"$6,100"	NA	"Harvard University"	"Cambridge, MA"	"Boston-Cambridge-Newton, MA"	2	46924.8	12875.2	0	0
"Comparative Literature"	"Arts and Sciences"	"New York University"	"Comparative Literature"	"32125"	"1.08"	"2018-2019"	"1st"	NA	"$32,125"	NA	NA	NA	"New York University"	"New York, NY"	"New York-Newark-Jersey City, NY"	29	47236.8	12875.2	0	0
"Comparative Literature"	"Arts and Sciences"	"University of California - Los Angeles"	"Comparative Literature"	"30000"	"1.16"	"2020-2021"	"1st"	NA	NA	"$30,000"	NA	NA	"University of California--Los Angeles"	"Los Angeles, CA"	"Los Angeles-Long Beach-Anaheim, CA"	20	44969.6	12875.2	0.04970101680628	0
"Comparative Literature"	"Arts and Sciences"	"University of Chicago"	"Comparative Literature"	"25000"	"1.15"	"2014-2015"	"4th"	NA	NA	"$22,000"	"$3,000"	NA	"University of Chicago"	"Chicago, IL"	"Chicago-Naperville-Elgin, IL"	6	38313.6	12875.2	0	0
"Comparative Literature"	"Arts and Sciences"	"University of Chicago"	"Comparative Literature"	"27000"	"1.11"	"2016-2017"	"1st"	NA	"$27,000"	NA	NA	NA	"University of Chicago"	"Chicago, IL"	"Chicago-Naperville-Elgin, IL"	6	38313.6	12875.2	0	0
"Comparative Literature"	"Arts and Sciences"	"University of Chicago"	"Comparative Literature"	"31000"	"1.28"	"2017-2018"	"1st"	NA	NA	"$28,000"	"$3,000"	NA	"University of Chicago"	"Chicago, IL"	"Chicago-Naperville-Elgin, IL"	6	38313.6	12875.2	0	0
"Comparative Literature"	"Arts and Sciences"	"University of Chicago"	"Comparative Literature"	"28531"	"1.18"	"2018-2019"	"1st"	NA	NA	"$27,000"	"$3,000"	"$1,469"	"University of Chicago"	"Chicago, IL"	"Chicago-Naperville-Elgin, IL"	6	38313.6	12875.2	0	0
"Comparative Literature"	"Arts and Sciences"	"University of North Carolina - Chapel Hill"	"Comparative Literature"	"18500"	"0.83"	"2015-2016"	"1st"	NA	NA	"$18,500"	NA	NA	"University of North Carolina--Chapel Hill"	"Chapel Hill, NC"	"Durham-Chapel Hill, NC"	29	35838.4	12875.2	0.0573364305071622	0
"Comparative Literature"	"Arts and Sciences"	"University of Southern California"	"Comparative Literature"	"29700"	"1.15"	"2015-2016"	"3rd"	NA	"$30,000"	NA	NA	"$300"	"University of Southern California"	"Los Angeles, CA"	"Los Angeles-Long Beach-Anaheim, CA"	22	44969.6	12875.2	0	0
"Comparative Literature"	"Arts and Sciences"	"University of Southern California"	"Comparative Literature"	"28000"	"1.08"	"2016-2017"	"1st"	NA	"$28,000"	NA	NA	NA	"University of Southern California"	"Los Angeles, CA"	"Los Angeles-Long Beach-Anaheim, CA"	22	44969.6	12875.2	0	0
"Comparative Literature"	"Arts and Sciences"	"Yale University"	"Comparative Literature"	"31000"	"1.25"	"2017-2018"	"1st"	NA	"$31,000"	NA	NA	NA	"Yale University"	"New Haven, CT"	"New Haven-Milford, CT"	3	38417.6	12875.2	0	0
"Comparative Literature"	"Arts and Sciences"	"Yale University"	"Comparative Literature"	"36200"	"1.46"	"2020-2021"	"1st"	NA	"$36,200"	NA	NA	NA	"Yale University"	"New Haven, CT"	"New Haven-Milford, CT"	3	38417.6	12875.2	0	0
"Comparative Literature"	"Arts and Sciences"	"Yale University"	"Comparative Literature"	"33600"	"1.36"	"2021-2022"	"1st"	"Tuition, health insurance, and fees are fully covered. Stipend disbursed 2x/month throughout the <span class=\"\"truncated\"\"> year.</span>"	"$33,600"	NA	NA	NA	"Yale University"	"New Haven, CT"	"New Haven-Milford, CT"	3	38417.6	12875.2	0	0
"Computer Engineering"	"Engineering and Computing"	"Carnegie Mellon University"	"Computer Engineering"	"31200"	"1.51"	"2015-2016"	"1st"	NA	"$31,200"	NA	NA	NA	"Carnegie Mellon University"	"Pittsburgh, PA"	"Pittsburgh, PA"	25	33321.6	12875.2	0	0
"Computer Engineering"	"Engineering and Computing"	"Northeastern University"	"Computer Engineering"	"40144"	"1.40"	"2022-2023"	"1st"	"health insurance is covered separately"	"$40,144"	NA	NA	NA	"Northeastern University"	"Boston, MA"	"Boston-Cambridge-Newton, MA"	40	46924.8	12875.2	0	0
"Computer Engineering"	"Engineering and Computing"	"University of Colorado - Boulder"	"Computer Engineering"	"38960"	"1.53"	"2018-2019"	"3rd"	NA	NA	"$23,976"	"$15,984"	"$1,000"	"University of Colorado--Boulder"	"Boulder, CO"	"Boulder, CO"	104	42286.4	12875.2	0.0315860215053764	0
"Computer Engineering"	"Engineering and Computing"	"University of Pittsburgh"	"Computer Engineering"	"30375"	"1.47"	"2020-2021"	"1st"	NA	"$30,375"	NA	NA	NA	"University of Pittsburgh"	"Pittsburgh, PA"	"Pittsburgh, PA"	57	33321.6	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Boston University"	"Computer Science"	"37500"	"1.31"	"2022-2023"	"4th"	"Dental insurance is not included"	"$37,500"	NA	NA	NA	"Boston University"	"Boston, MA"	"Boston-Cambridge-Newton, MA"	40	46924.8	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Brown University"	"Computer Science"	"38795"	"1.70"	"2016-2017"	"1st"	"Plus health and dental coverage, at $4000/year"	NA	"$26,835"	"$11,960"	NA	"Brown University"	"Providence, RI"	"Providence-Warwick, RI"	14	36004.8	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Brown University"	"Computer Science"	"38000"	"1.67"	"2018-2019"	"1st"	NA	"$38,000"	NA	NA	NA	"Brown University"	"Providence, RI"	"Providence-Warwick, RI"	14	36004.8	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Brown University"	"Computer Science"	"40000"	"1.76"	"2019-2020"	"1st"	NA	"$40,000"	NA	NA	NA	"Brown University"	"Providence, RI"	"Providence-Warwick, RI"	14	36004.8	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Brown University"	"Computer Science"	"43000"	"1.89"	"2021-2022"	"4th"	"Post-candidacy. Numbers are rounded for privacy."	NA	"$29,000"	"$14,000"	NA	"Brown University"	"Providence, RI"	"Providence-Warwick, RI"	14	36004.8	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Brown University"	"Computer Science"	"41930"	"1.84"	"2021-2022"	"1st"	NA	NA	"$29,014"	"$12,916"	NA	"Brown University"	"Providence, RI"	"Providence-Warwick, RI"	14	36004.8	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Brown University"	"Computer Science"	"40500"	"1.78"	"2021-2022"	"1st"	"Written in offer letter. Numbers are rounded"	NA	"$27,500"	"$13,000"	NA	"Brown University"	"Providence, RI"	"Providence-Warwick, RI"	14	36004.8	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Carnegie Mellon University"	"Computer Science"	"31945"	"1.54"	"2018-2019"	"1st"	NA	"$34,284"	NA	NA	"$2,339"	"Carnegie Mellon University"	"Pittsburgh, PA"	"Pittsburgh, PA"	25	33321.6	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Carnegie Mellon University"	"Computer Science"	"34699"	"1.68"	"2020-2021"	"5th"	NA	"$36,000"	NA	NA	"$1,301"	"Carnegie Mellon University"	"Pittsburgh, PA"	"Pittsburgh, PA"	25	33321.6	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Carnegie Mellon University"	"Computer Science"	"36000"	"1.74"	"2020-2021"	"3rd"	NA	"$36,000"	NA	NA	NA	"Carnegie Mellon University"	"Pittsburgh, PA"	"Pittsburgh, PA"	25	33321.6	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Columbia University"	"Computer Science"	"33642"	"1.13"	"2019-2020"	"1st"	NA	NA	"$33,642"	NA	NA	"Columbia University"	"New York, NY"	"New York-Newark-Jersey City, NY"	3	47236.8	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Cornell University"	"Computer Science"	"38200"	"1.58"	"2020-2021"	"3rd"	NA	"$38,300"	NA	NA	"$100"	"Cornell University"	"Ithaca, NY"	"Ithaca, NY"	17	39020.8	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Cornell University"	"Computer Science"	"35000"	"1.44"	"2021-2022"	"1st"	NA	NA	"$35,000"	NA	NA	"Cornell University"	"Ithaca, NY"	"Ithaca, NY"	17	39020.8	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Drexel University"	"Computer Science"	"25280"	"1.05"	"2019-2020"	"1st"	"I&#39;m not totally sure if I have to pay the fees but I think I will."	"$26,000"	NA	NA	"$720"	"Drexel University"	"Philadelphia, PA"	"Philadelphia-Camden-Wilmington, PA"	97	36108.8	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Drexel University"	"Computer Science"	"32000"	"1.33"	"2018-2019"	"3rd"	"Health covered."	"$32,000"	NA	NA	NA	"Drexel University"	"Philadelphia, PA"	"Philadelphia-Camden-Wilmington, PA"	97	36108.8	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Drexel University"	"Computer Science"	"21300"	"0.88"	"2018-2019"	"2nd"	"TA stipend, plus hours in tutoring center.  some health benefits. PhD candidates receive full <span class=\"\"truncated\"\"> tuition remission.</span>"	"$21,600"	NA	NA	"$300"	"Drexel University"	"Philadelphia, PA"	"Philadelphia-Camden-Wilmington, PA"	97	36108.8	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Drexel University"	"Computer Science"	"32000"	"1.33"	"2021-2022"	"5th"	NA	"$32,000"	NA	NA	NA	"Drexel University"	"Philadelphia, PA"	"Philadelphia-Camden-Wilmington, PA"	97	36108.8	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Duke University"	"Computer Science"	"33660"	"1.51"	"2022-2023"	"1st"	NA	NA	"$25,245"	"$8,415"	NA	"Duke University"	"Durham, NC"	"Durham-Chapel Hill, NC"	10	35838.4	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Duke University"	"Computer Science"	"33660"	"1.51"	"2022-2023"	"3rd"	NA	"$33,660"	NA	NA	NA	"Duke University"	"Durham, NC"	"Durham-Chapel Hill, NC"	10	35838.4	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Florida International University"	"Computer Science"	"20900"	"0.88"	"2018-2019"	"2nd"	"TA"	"$23,400"	NA	NA	"$2,500"	"Florida International University"	"Miami, FL"	"Miami-Fort Lauderdale-West Palm Beach, FL"	218	36420.8	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Florida International University"	"Computer Science"	"25100"	"1.05"	"2018-2019"	"2nd"	"RA Salary"	"$27,600"	NA	NA	"$2,500"	"Florida International University"	"Miami, FL"	"Miami-Fort Lauderdale-West Palm Beach, FL"	218	36420.8	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Florida International University"	"Computer Science"	"27600"	"1.16"	"2018-2019"	"1st"	NA	"$27,600"	NA	NA	NA	"Florida International University"	"Miami, FL"	"Miami-Fort Lauderdale-West Palm Beach, FL"	218	36420.8	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Florida International University"	"Computer Science"	"25100"	"1.05"	"2018-2019"	"2nd"	NA	"$27,600"	NA	NA	"$2,500"	"Florida International University"	"Miami, FL"	"Miami-Fort Lauderdale-West Palm Beach, FL"	218	36420.8	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Florida International University"	"Computer Science"	"25600"	"1.07"	"2020-2021"	"4th"	"Pre-candidacy students pay about $2500 a year as fees, which is reduced to about $1200 when taking <span class=\"\"truncated\"\"> dissertation credits only. Partial health insurance payment is also required, which is about $750 a year.</span>"	"$27,600"	NA	NA	"$2,000"	"Florida International University"	"Miami, FL"	"Miami-Fort Lauderdale-West Palm Beach, FL"	218	36420.8	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Florida International University"	"Computer Science"	"29450"	"1.24"	"2020-2021"	"5th"	NA	"$31,050"	NA	NA	"$1,600"	"Florida International University"	"Miami, FL"	"Miami-Fort Lauderdale-West Palm Beach, FL"	218	36420.8	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Florida International University"	"Computer Science"	"26100"	"1.10"	"2020-2021"	"3rd"	NA	"$28,600"	NA	NA	"$2,500"	"Florida International University"	"Miami, FL"	"Miami-Fort Lauderdale-West Palm Beach, FL"	218	36420.8	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Florida International University"	"Computer Science"	"21700"	"0.91"	"2020-2021"	"1st"	NA	"$24,200"	NA	NA	"$2,500"	"Florida International University"	"Miami, FL"	"Miami-Fort Lauderdale-West Palm Beach, FL"	218	36420.8	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Florida International University"	"Computer Science"	"29450"	"1.24"	"2020-2021"	"5th"	NA	"$31,050"	NA	NA	"$1,600"	"Florida International University"	"Miami, FL"	"Miami-Fort Lauderdale-West Palm Beach, FL"	218	36420.8	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Florida International University"	"Computer Science"	"16000"	"0.67"	"2022-2023"	"1st"	NA	NA	"$18,000"	NA	"$2,000"	"Florida International University"	"Miami, FL"	"Miami-Fort Lauderdale-West Palm Beach, FL"	218	36420.8	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Florida State University"	"Computer Science"	"16300"	"0.70"	"2020-2021"	"2nd"	"TA pay rate  is roughly $23 per hour. $900+ student fee for each semester. The health insurance is <span class=\"\"truncated\"\"> getting more expensive every year. In 2021 Fall, you need to pay about $900 by yourself for the insurance. </span>"	"$19,000"	NA	NA	"$2,700"	"Florida State University"	"Tallahassee, FL"	"Tallahassee, FL"	57	32656	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Fordham University"	"Computer Science"	"24567"	"0.83"	"2022-2023"	"1st"	NA	"$26,567"	NA	NA	"$2,000"	"Fordham University"	"New York, NY"	"New York-Newark-Jersey City, NY"	74	47236.8	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Georgia Institute of Technology"	"Computer Science"	"29700"	"1.28"	"2018-2019"	"1st"	NA	"$29,700"	NA	NA	NA	"Georgia Institute of Technology"	"Atlanta, GA"	"Atlanta-Sandy Springs-Roswell, GA"	29	38209.6	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Georgia Institute of Technology"	"Computer Science"	"34800"	"1.49"	"2022-2023"	"3rd"	NA	"$34,800"	NA	NA	NA	"Georgia Institute of Technology"	"Atlanta, GA"	"Atlanta-Sandy Springs-Roswell, GA"	29	38209.6	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Georgia State University"	"Computer Science"	"16936"	"0.73"	"2015-2016"	"1st"	NA	"$18,000"	NA	NA	"$1,064"	"Georgia State University"	"Atlanta, GA"	"Atlanta-Sandy Springs-Roswell, GA"	211	38209.6	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Georgia State University"	"Computer Science"	"13936"	"0.60"	"2015-2016"	"1st"	NA	"$15,000"	NA	NA	"$1,064"	"Georgia State University"	"Atlanta, GA"	"Atlanta-Sandy Springs-Roswell, GA"	211	38209.6	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Illinois Institute of Technology"	"Computer Science"	"14300"	"0.66"	"2014-2015"	"2nd"	NA	NA	"$16,000"	NA	"$1,700"	"Illinois Institute of Technology"	"Chicago, IL"	"Chicago-Naperville-Elgin, IL"	117	38313.6	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Johns Hopkins University"	"Computer Science"	"37333"	"1.45"	"2021-2022"	"1st"	NA	"$37,333"	NA	NA	NA	"Johns Hopkins University"	"Baltimore, MD"	"Baltimore-Columbia-Towson, MD"	10	36483.2	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Johns Hopkins University"	"Computer Science"	"38500"	"1.50"	"2022-2023"	"1st"	NA	"$38,500"	NA	NA	NA	"Johns Hopkins University"	"Baltimore, MD"	"Baltimore-Columbia-Towson, MD"	10	36483.2	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Kansas State University"	"Computer Science"	"11700"	"0.53"	"2017-2018"	"1st"	"GTA with 9 credit hour tuition waiver,  $150/semester health insurance, and $650 bi-weekly stipend."	NA	"$11,700"	NA	NA	"Kansas State University"	"Manhattan, KS"	"Manhattan, KS"	162	31928	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Lehigh University"	"Computer Science"	"22050"	"0.99"	"2017-2018"	"1st"	NA	NA	"$22,050"	NA	NA	"Lehigh University"	"Bethlehem, PA"	"Allentown-Bethlehem-Easton, PA"	50	34756.8	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"Massachusetts Institute of Technology"	"Computer Science"	"40885"	"1.46"	"2019-2020"	"2nd"	NA	"$41,000"	NA	NA	"$115"	"Massachusetts Institute of Technology"	"Cambridge, MA"	"Boston-Cambridge-Newton, MA"	3	46924.8	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"New York University"	"Computer Science"	"30600"	"1.03"	"2017-2018"	"1st"	NA	NA	"$30,600"	NA	NA	"New York University"	"New York, NY"	"New York-Newark-Jersey City, NY"	29	47236.8	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"New York University"	"Computer Science"	"36000"	"1.21"	"2020-2021"	NA	"No fees or tuition. Healthcare included"	"$36,000"	NA	NA	NA	"New York University"	"New York, NY"	"New York-Newark-Jersey City, NY"	29	47236.8	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"New York University"	"Computer Science"	"32851"	"1.10"	"2020-2021"	"1st"	NA	NA	"$32,851"	NA	NA	"New York University"	"New York, NY"	"New York-Newark-Jersey City, NY"	29	47236.8	12875.2	0	0
"Computer Science"	"Engineering and Computing"	"North Carolina State University"	"Computer Science"	"15800"	"0.69"	"2017-2018"	"1st"	NA	NA	"$19,800"	NA	"$4,000"	"North Carolina A&T State University"	"Greensboro, NC"	"Greensboro-High Point, NC"	281	33529.6	12875.2	0.0703533026113672	0
